,Airport,Type,City,Country,IATA,ICAO,FAA
0,Anaa,Medium airport,,French Polynesia,AAA,NTGA,
1,Arrabury,Small airport,,Australia,AAB,YARY,
2,El Arish International,Medium airport,El Arish,Egypt,AAC,HEAR,
3,Ad-DabbahClosed,Closed,Ad-Dabbah,Sudan,AAD,,
4,Rabah Bitat,Medium airport,Annaba,Algeria,AAE,DABB,
5,Apalachicola Regional,Small airport,Apalachicola,United States,AAF,KAAF,AAF
6,Arapoti,Small airport,Arapoti,Brazil,AAG,SSYA,
7,Aachen-Merzbrück,Small airport,Aachen,Germany,AAH,EDKA,
8,Arraias,Small airport,Arraias,Brazil,AAI,SWRA,
9,Cayana Airstrip,Small airport,Awaradam,Suriname,AAJ,SMCA,
10,Buariki,Small airport,Buariki,Kiribati,AAK,NGUK,
11,Aalborg,Large airport,Aalborg,Denmark,AAL,EKYT,
12,Malamala,Medium airport,Malamala,South Africa,AAM,FAMD,
13,Al Ain International,Medium airport,Al Ain,United Arab Emirates,AAN,OMAL,
14,Anaco,Medium airport,Anaco,Venezuela,AAO,SVAN,
15,Andrau AirparkClosed,Closed,Houston,United States,AAP,KAAP,
16,Anapa Vityazevo,Medium airport,Anapa,Russia,AAQ,URKA,
17,Aarhus,Medium airport,Aarhus,Denmark,AAR,EKAH,
18,Apalapsili,Small airport,Apalapsili,Indonesia,AAS,,
19,Altay Air Base,Medium airport,Altay,China,AAT,ZWAT,
20,Asau,Small airport,Asau,Samoa,AAU,NSAU,
21,Allah Valley,Medium airport,Surallah,Philippines,AAV,RPMA,
22,Abbottabad,Small airport,Abbottabad,Pakistan,AAW,OPAB,
23,Romeu Zema,Small airport,Araxá,Brazil,AAX,SBAX,
24,Al Ghaidah International,Medium airport,,Yemen,AAY,OYGD,
25,Quezaltenango,Small airport,Quezaltenango,Guatemala,AAZ,MGQZ,
26,Abakan,Medium airport,Abakan,Russia,ABA,UNAA,
27,Asaba International,Medium airport,Asaba,Nigeria,ABB,DNAS,
28,Albacete-Los Llanos,Medium airport,Albacete,Spain,ABC,LEAB,
29,Abadan,Medium airport,Abadan,Iran,ABD,OIAA,
30,Lehigh Valley International,Medium airport,Allentown,United States,ABE,KABE,ABE
31,Abaiang,Small airport,Abaiang,Kiribati,ABF,NGAB,
32,Abingdon Downs,Small airport,,Australia,ABG,YABI,
33,Alpha,Medium airport,Alpha,Australia,ABH,YAPH,
34,Abilene Regional,Medium airport,Abilene,United States,ABI,KABI,ABI
35,Port Bouet,Medium airport,Abidjan,Côte d'Ivoire,ABJ,DIAP,
36,Kabri Dehar,Small airport,Kabri Dehar,Ethiopia,ABK,HAKD,
37,Ambler,Medium airport,Ambler,United States,ABL,PAFM,AFM
38,Northern Peninsula,Small airport,Bamaga,Australia,ABM,YNPE,
39,Albina,Small airport,Albina,Suriname,ABN,SMBN,
40,AboissoClosed,Closed,Aboisso,Côte d'Ivoire,ABO,,
41,Albuquerque International Sunport,Large airport,Albuquerque,United States,ABQ,KABQ,ABQ
42,Aberdeen Regional,Medium airport,Aberdeen,United States,ABR,KABR,ABR
43,Abu Simbel,Medium airport,Abu Simbel,Egypt,ABS,HEBL,
44,Al Baha,Medium airport,,Saudi Arabia,ABT,OEBA,
45,Haliwen,Small airport,Atambua-Timor Island,Indonesia,ABU,WATA,
46,Nnamdi Azikiwe International,Large airport,Abuja,Nigeria,ABV,DNAA,
47,AbauClosed,Closed,Abau,Papua New Guinea,ABW,,
48,Albury,Medium airport,Albury,Australia,ABX,YMAY,
49,Southwest Georgia Regional,Medium airport,Albany,United States,ABY,KABY,ABY
50,Aberdeen Dyce,Large airport,Aberdeen,United Kingdom,ABZ,EGPD,
51,General Juan N Alvarez International,Large airport,Acapulco,Mexico,ACA,MMAA,
52,Antrim County,Small airport,Bellaire,United States,ACB,KACB,ACB
53,Kotoka International,Large airport,Accra,Ghana,ACC,DGAA,
54,Alcides Fernández,Small airport,Acandí,Colombia,ACD,SKAD,
55,Lanzarote,Medium airport,Lanzarote Island,Spain,ACE,GCRR,
56,Brisbane Archerfield,Small airport,Brisbane,Australia,ACF,YBAF,
57,St Gallen Altenrhein,Medium airport,Altenrhein,Switzerland,ACH,LSZR,
58,Alderney,Medium airport,Saint Anne,Guernsey,ACI,EGJA,
59,Anuradhapura Air Force Base,Medium airport,Anuradhapura,Sri Lanka,ACJ,VCCA,
60,Nantucket Memorial,Medium airport,Nantucket,United States,ACK,KACK,ACK
61,Aguaclara,Small airport,Aguaclara,Colombia,ACL,,
62,Arica,Small airport,Arica,Colombia,ACM,,
63,Ciudad Acuña New International,Small airport,Ciudad Acuña,Mexico,ACN,MMCC,
64,AsconaClosed,Closed,Ascona,Switzerland,ACO,LSZD,
65,Sahand,Small airport,Maragheh,Iran,ACP,OITM,
66,Araracuara,Small airport,Araracuara,Colombia,ACR,SKAC,
67,Achinsk,Medium airport,Achinsk,Russia,ACS,UNKS,
68,Waco Regional,Medium airport,Waco,United States,ACT,KACT,ACT
69,Achutupo,Small airport,Achutupo,Panama,ACU,,
70,Arcata,Medium airport,Arcata/Eureka,United States,ACV,KACV,ACV
71,Xingyi,Medium airport,Xingyi,China,ACX,ZUYI,
72,Atlantic City International,Medium airport,Atlantic City,United States,ACY,KACY,ACY
73,Zabol,Medium airport,,Iran,ACZ,OIZB,
74,Adana,Large airport,Adana,Turkey,ADA,LTAF,
75,Adnan Menderes International,Large airport,İzmir,Turkey,ADB,LTBJ,
76,Addis Ababa Bole International,Large airport,Addis Ababa,Ethiopia,ADD,HAAB,
77,Aden International,Medium airport,Aden,Yemen,ADE,OYAA,
78,Adıyaman,Medium airport,Adıyaman,Turkey,ADF,LTCP,
79,Lenawee County,Small airport,Adrian,United States,ADG,KADG,ADG
80,Aldan,Small airport,Aldan,Russia,ADH,UEEA,
81,Arandis,Medium airport,Arandis,Namibia,ADI,FYAR,
82,Amman-Marka International,Medium airport,Amman,Jordan,ADJ,OJAM,
83,Adak,Medium airport,Adak Island,United States,ADK,PADK,ADK
84,Adelaide International,Medium airport,Adelaide,Australia,ADL,YPAD,
85,Ardmore Municipal,Small airport,Ardmore,United States,ADM,KADM,ADM
86,Andes,Small airport,Andes,Colombia,ADN,SKAN,
87,Andamooka,Small airport,,Australia,ADO,YAMK,
88,Ampara,Medium airport,Ampara,Sri Lanka,ADP,VCCG,
89,Kodiak,Medium airport,Kodiak,United States,ADQ,PADQ,ADQ
90,Robert F Swinnie,Small airport,Andrews,United States,ADR,KPHH,PHH
91,Addison,Small airport,Dallas,United States,ADS,KADS,ADS
92,Ada Regional,Small airport,Ada,United States,ADT,KADH,ADH
93,Ardabil,Medium airport,Ardabil,Iran,ADU,OITL,
94,Andrews Air Force Base,Large airport,Camp Springs,United States,ADW,KADW,ADW
95,RAF Leuchars,Medium airport,St. Andrews,United Kingdom,ADX,EGQL,
96,Alldays,Small airport,Alldays,South Africa,ADY,FAAL,
97,Gustavo Rojas Pinilla International,Medium airport,San Andrés,Colombia,ADZ,SKSP,
98,Abemama Atoll,Small airport,Abemama Atoll,Kiribati,AEA,NGTB,
99,Baise Youjiang,Medium airport,Baise,China,AEB,ZGBS,
0,AlenevaClosed,Closed,Aleneva,United States,AED,,
1,Adareil,Small airport,,South Sudan,AEE,,
2,Aek Godang,Medium airport,Padang Sidempuan-Sumatra Island,Indonesia,AEG,WIME,
3,Abeche,Medium airport,,Chad,AEH,FTTC,
4,Algeciras,Heliport,Algeciras,Spain,AEI,LEAG,
5,Aseki,Small airport,Aseki,Papua New Guinea,AEK,AYAX,
6,Albert Lea Municipal,Small airport,Albert Lea,United States,AEL,KAEL,AEL
7,Aioun el Atrouss,Small airport,Aioun El Atrouss,Mauritania,AEO,GQNA,
8,Jorge Newbery Airpark,Medium airport,Buenos Aires,Argentina,AEP,SABE,
9,Sochi International,Large airport,Sochi,Russia,AER,URSS,
10,Ålesund,Medium airport,Ålesund,Norway,AES,ENAL,
11,Allakaket,Small airport,Allakaket,United States,AET,PFAL,6A8
12,Abumusa Island,Medium airport,,Iran,AEU,OIBA,
13,Alexandria International,Medium airport,Alexandria,United States,AEX,KAEX,AEX
14,Akureyri,Medium airport,Akureyri,Iceland,AEY,BIAR,
15,Suboficial Ay Santiago Germano,Medium airport,San Rafael,Argentina,AFA,SAMR,
16,Port Alfred,Small airport,Port Alfred,South Africa,AFD,FAPA,
17,USAF Academy Airfield,Small airport,Colorado Springs,United States,AFF,KAFF,AFF
18,Amalfi,Small airport,Amalfi,Colombia,AFI,SKAM,
19,Kondavattavana Tank,Seaplane base,Ampara,Sri Lanka,AFK,,
20,Piloto Osvaldo Marques Dias,Medium airport,Alta Floresta,Brazil,AFL,SBAT,
21,Jaffrey Silver Ranch,Small airport,Jaffrey,United States,AFN,KAFN,AFN
22,Afton Municipal,Small airport,Afton,United States,AFO,KAFO,AFO
23,Afore Airstrip,Small airport,,Papua New Guinea,AFR,AYAF,
24,Sugraly,Small airport,Zarafshan,Uzbekistan,AFS,UTSN,
25,Afutara Aerodrome,Small airport,Bila,Solomon Islands,AFT,AGAF,
26,Fort Worth Alliance,Large airport,Fort Worth,United States,AFW,KAFW,AFW
27,Afyon,Medium airport,Afyonkarahisar,Turkey,AFY,LTAH,
28,Sabzevar National,Medium airport,Sabzevar,Iran,AFZ,OIMS,
29,Al Massira,Medium airport,Agadir,Morocco,AGA,GMAD,AGA
30,Augsburg,Medium airport,Augsburg,Germany,AGB,EDMA,
31,Allegheny County,Medium airport,Pittsburgh,United States,AGC,KAGC,AGC
32,Anggi,Small airport,Anggi-Papua Island,Indonesia,AGD,WASG,
33,Wangerooge,Small airport,Wangerooge,Germany,AGE,EDWG,
34,Agen-La Garenne,Medium airport,Agen/La Garenne,France,AGF,LFBA,
35,Angoram,Small airport,Angoram,Papua New Guinea,AGG,,
36,Ängelholm-Helsingborg,Medium airport,Ängelholm,Sweden,AGH,ESTA,
37,Wageningen Airstrip,Small airport,Wageningen,Suriname,AGI,SMWA,
38,Aguni,Small airport,Aguni,Japan,AGJ,RORA,
39,Kagua,Small airport,Kagua,Papua New Guinea,AGK,,
40,Wanigela,Small airport,,Papua New Guinea,AGL,AYWG,
41,Tasiilaq,Heliport,Tasiilaq,Greenland,AGM,BGAM,
42,Angoon,Seaplane base,Angoon,United States,AGN,PAGN,AGN
43,Magnolia Municipal,Small airport,Magnolia,United States,AGO,KAGO,AGO
44,Málaga,Large airport,Málaga,Spain,AGP,LEMG,
45,Agrinion Air BaseClosed,Closed,Agrinion,Greece,AGQ,LGAG,
46,Agra,Medium airport,,India,AGR,VIAG,
47,Augusta Regional At Bush Field,Large airport,Augusta,United States,AGS,KAGS,AGS
48,Guarani International,Medium airport,Ciudad del Este,Paraguay,AGT,SGES,
49,Jesús Terán Paredo International,Medium airport,Aguascalientes,Mexico,AGU,MMAS,
50,Oswaldo Guevara Mujica,Medium airport,Acarigua,Venezuela,AGV,SVAC,
51,Agnew,Small airport,Agnew,Australia,AGW,,
52,Agatti,Medium airport,,India,AGX,VOAT,
53,Argyle DownsClosed,Closed,Argyle Downs,Australia,AGY,,
54,Aggeneys,Medium airport,Aggeneys,South Africa,AGZ,FAAG,
55,Abha Regional,Medium airport,Abha,Saudi Arabia,AHB,OEAB,
56,Amedee Army Air Field,Small airport,Herlong,United States,AHC,KAHC,AHC
57,Ardmore Downtown Executive,Small airport,Ardmore,United States,AHD,,1F0
58,Ahe,Medium airport,Ahe Atoll,French Polynesia,AHE,NTHE,
59,Arapahoe Municipal,Small airport,Arapahoe,United States,AHF,,37V
60,Amery Municipal,Small airport,Amery,United States,AHH,KAHH,AHH
61,Amahai,Small airport,Amahai-Seram Island,Indonesia,AHI,WAPA,
62,Hongyuan,Medium airport,Aba,China,AHJ,ZUHY,
63,Aishalton,Small airport,Aishalton,Guyana,AHL,SYAH,
64,Ashland Municipal Sumner Parker Field,Small airport,Ashland,United States,AHM,KS03,S03
65,Athens Ben Epps,Medium airport,Athens,United States,AHN,KAHN,AHN
66,Alghero-Fertilia,Medium airport,Alghero,Italy,AHO,LIEA,
67,Ahuas,Small airport,Ahuas,Honduras,AHS,MHAH,
68,Amchitka Army AirfieldClosed,Closed,Amchitka Island,United States,AHT,,
69,Cherif Al Idrissi,Medium airport,Al Hoceima,Morocco,AHU,GMTA,
70,AmbatolhyClosed,Closed,Ambatolahy,Madagascar,AHY,,
71,Altiport L'Alpe d'Huez - Henri GIRAUD,Small airport,L'Alpe d'Huez,France,AHZ,LFHU,
72,Alliance Municipal,Small airport,Alliance,United States,AIA,KAIA,AIA
73,Anita BayClosed,Closed,Anita Bay,United States,AIB,,
74,Ailinglaplap AirokClosed,Closed,Bigatyelang Island,Marshall Islands,AIC,,
75,Anderson Municipal Darlington Field,Small airport,Anderson,United States,AID,KAID,AID
76,Aiome,Small airport,Aiome,Papua New Guinea,AIE,AYAO,
77,Marcelo Pires Halzhausen,Small airport,Assis,Brazil,AIF,SNAX,
78,Yalinga,Small airport,Yalinga,Central African Republic,AIG,FEFY,
79,Aiambak,Small airport,Aiambak,Papua New Guinea,AIH,AYAK,
80,Ali-Sabieh,Small airport,Ali-Sabieh,Djibouti,AII,HDAS,
81,Aiken Municipal,Small airport,Aiken,United States,AIK,KAIK,AIK
82,Alligandi,Small airport,Alligandi,Panama,AIL,,
83,Ailuk,Small airport,Ailuk Island,Marshall Islands,AIM,,
84,Wainwright,Medium airport,Wainwright,United States,AIN,PAWI,AWI
85,Atlantic Municipal,Small airport,Atlantic,United States,AIO,KAIO,AIO
86,AripuanãClosed,Closed,Aripuanã,Brazil,AIR,SWRP,
87,Arorae Island,Small airport,Arorae Island,Kiribati,AIS,NGTR,
88,Aitutaki,Small airport,Aitutaki,Cook Islands,AIT,NCAI,
89,Enua,Small airport,Atiu Island,Cook Islands,AIU,NCAT,
90,George Downer,Small airport,Aliceville,United States,AIV,KAIV,AIV
91,Ai-Ais,Small airport,Ai-Ais,Namibia,AIW,FYAA,
92,Atlantic City Municipal Bader FieldClosed,Closed,Atlantic City,United States,AIY,KAIY,
93,Lee C Fine Memorial,Small airport,Kaiser Lake Ozark,United States,AIZ,KAIZ,AIZ
94,Ajaccio-Napoléon Bonaparte,Medium airport,Ajaccio/Napoléon Bonaparte,France,AJA,LFKJ,
95,Al-Jawf Domestic,Medium airport,Al-Jawf,Saudi Arabia,AJF,OESK,
96,Ağrı,Medium airport,,Turkey,AJI,LTCO,
97,Akjoujt,Small airport,Akjoujt,Mauritania,AJJ,GQNJ,
98,Arak,Small airport,Araak,Iran,AJK,OIHR,
99,Lengpui,Medium airport,Aizawl,India,AJL,VELP,
0,Ouani,Medium airport,Ouani,Comoros,AJN,FMCV,
1,AljoufClosed,Closed,Aljouf,Yemen,AJO,,
2,Arvidsjaur,Medium airport,Arvidsjaur,Sweden,AJR,ESNX,
3,Abreojos,Small airport,Abreojos,Mexico,AJS,,
4,Santa Maria,Medium airport,Aracaju,Brazil,AJU,SBAR,
5,Mano Dayak International,Medium airport,Agadez,Niger,AJY,DRZA,
6,Ankang Wulipu,Small airport,Ankang,China,AKA,ZLAK,
7,Atka,Small airport,Atka,United States,AKB,PAAK,AKA
8,Akron Fulton International,Medium airport,Akron,United States,AKC,KAKR,AKR
9,Akola,Medium airport,,India,AKD,VAAK,
10,Akieni,Small airport,Akieni,Gabon,AKE,FOGA,
11,Kufra,Medium airport,Kufra,Libya,AKF,HLKF,
12,Anguganak,Small airport,Anguganak,Papua New Guinea,AKG,AYGU,
13,Prince Sultan Air Base,Medium airport,,Saudi Arabia,AKH,OEPS,
14,Akiak,Small airport,Akiak,United States,AKI,PFAK,AKI
15,Asahikawa,Medium airport,Asahikawa / Hokkaidō,Japan,AKJ,RJEC,
16,Akhiok,Small airport,Akhiok,United States,AKK,PAKH,AKK
17,Auckland International,Large airport,Auckland,New Zealand,AKL,NZAA,
18,Zakuoma,Small airport,ZaKouma,Chad,AKM,,
19,King Salmon,Medium airport,King Salmon,United States,AKN,PAKN,AKN
20,Colorado Plains Regional,Small airport,Akron,United States,AKO,KAKO,AKO
21,Anaktuvuk Pass,Medium airport,Anaktuvuk Pass,United States,AKP,PAKP,AKP
22,Gunung Batin,Small airport,Astraksetra-Sumatra Island,Indonesia,AKQ,,
23,Akure,Medium airport,Akure,Nigeria,AKR,DNAK,
24,Auki,Small airport,Auki,Solomon Islands,AKS,AGGA,
25,RAF Akrotiri,Large airport,Akrotiri,Cyprus,AKT,LCRA,
26,Aksu,Medium airport,Aksu,China,AKU,ZWAK,
27,Akulivik,Medium airport,Akulivik,Canada,AKV,CYKO,
28,Aghajari,Medium airport,Aghajari,Iran,AKW,OIAG,
29,Aktobe,Medium airport,Aktyuinsk,Kazakhstan,AKX,UATT,
30,Sittwe,Medium airport,Sittwe,Burma,AKY,VYSW,
31,Almaty,Large airport,Almaty,Kazakhstan,ALA,UAAA,
32,Albany International,Medium airport,Albany,United States,ALB,KALB,ALB
33,Alicante International,Large airport,Alicante,Spain,ALC,LEAL,
34,Alerta,Small airport,Fortaleza,Perú,ALD,SPAR,
35,Alpine Casparis Municipal,Small airport,Alpine,United States,ALE,,E38
36,Alta,Medium airport,Alta,Norway,ALF,ENAT,
37,Houari Boumediene,Large airport,Algiers,Algeria,ALG,DAAG,
38,Albany,Medium airport,Albany,Australia,ALH,YABA,
39,Alice International,Medium airport,Alice,United States,ALI,KALI,ALI
40,Alexander Bay,Medium airport,Alexander Bay,South Africa,ALJ,FAAB,
41,AselaClosed,Closed,Asela,Ethiopia,ALK,,
42,Villanova D'Albenga International,Medium airport,Albenga (SV),Italy,ALL,LIMG,
43,Alamogordo White Sands Regional,Medium airport,Alamogordo,United States,ALM,KALM,ALM
44,St Louis Regional,Medium airport,Alton/St Louis,United States,ALN,KALN,ALN
45,Waterloo Regional,Medium airport,Waterloo,United States,ALO,KALO,ALO
46,Aleppo International,Large airport,Aleppo,Syria,ALP,OSAP,
47,Alegrete Novo,Small airport,Alegrete,Brazil,ALQ,SSLT,
48,Alexandra,Medium airport,Alexandra,New Zealand,ALR,NZLX,
49,San Luis Valley Regional Bergman Field,Medium airport,Alamosa,United States,ALS,KALS,ALS
50,Alenquer,Small airport,Alenquer,Brazil,ALT,SDWQ,
51,Alula,Small airport,Alula,Somalia,ALU,HCMA,
52,Walla Walla Regional,Medium airport,Walla Walla,United States,ALW,KALW,ALW
53,Thomas C Russell Field,Small airport,Alexander City,United States,ALX,KALX,ALX
54,El Nouzha,Medium airport,Alexandria,Egypt,ALY,HEAX,
55,Alitak,Seaplane base,Lazy Bay,United States,ALZ,,ALZ
56,Rick Husband Amarillo International,Large airport,Amarillo,United States,AMA,KAMA,AMA
57,Ambilobe,Small airport,,Madagascar,AMB,FMNE,
58,Am Timan,Small airport,Am Timan,Chad,AMC,FTTN,
59,Sardar Vallabhbhai Patel International,Medium airport,Ahmedabad,India,AMD,VAAH,
60,Alto Molocue,Small airport,Alto Molocue,Mozambique,AME,,
61,Ama,Small airport,,Papua New Guinea,AMF,AYAA,
62,AmboinClosed,Closed,Amboin,Papua New Guinea,AMG,,
63,Arba Minch,Medium airport,,Ethiopia,AMH,HAAM,
64,Selaparang,Small airport,Mataram-Lombok Island,Indonesia,AMI,WADA,
65,Cirilo Queiróz,Small airport,Almenara,Brazil,AMJ,SNAR,
66,Animas Air Park,Small airport,Durango,United States,AMK,,00C
67,Puerto ArmuellesClosed,Closed,Puerto Armuelles,Panama,AML,,
68,Queen Alia International,Large airport,Amman,Jordan,AMM,OJAI,
69,Gratiot Community,Small airport,Alma,United States,AMN,KAMN,AMN
70,Mao,Small airport,Mao,Chad,AMO,FTTU,
71,Ampanihy,Small airport,Ampanihy,Madagascar,AMP,FMSY,
72,"Pattimura, Ambon",Medium airport,Ambon,Indonesia,AMQ,WAPP,
73,ArnoClosed,Closed,Arno,Marshall Islands,AMR,,
74,Amsterdam Schiphol,Large airport,Amsterdam,Netherlands,AMS,EHAM,
75,Amata,Small airport,,Australia,AMT,YAMT,
76,Amanab,Small airport,Amanab,Papua New Guinea,AMU,AYAM,
77,Amderma,Medium airport,Amderma,Russia,AMV,ULDD,
78,Ames Municipal,Small airport,Ames,United States,AMW,KAMW,AMW
79,Ammaroo,Small airport,,Australia,AMX,YAMM,
80,Ambatomainty,Small airport,,Madagascar,AMY,,
81,Ardmore,Medium airport,Manurewa,New Zealand,AMZ,NZAR,
82,AnaheimClosed,Closed,"Anaheim, CA",United States,ANA,,
83,Anniston Metropolitan,Medium airport,Anniston,United States,ANB,KANB,ANB
84,Ted Stevens Anchorage International,Large airport,Anchorage,United States,ANC,PANC,ANC
85,Anderson Regional,Medium airport,Anderson,United States,AND,KAND,AND
86,Angers-Loire,Medium airport,Angers/Marcé,France,ANE,LFJR,
87,Cerro Moreno,Medium airport,Antofagasta,Chile,ANF,SCFA,
88,Angoulême-Brie-Champniers,Medium airport,Angoulême/Brie/Champniers,France,ANG,LFBU,
89,Anuha Island ResortClosed,Closed,Anhua Island,Solomon Islands,ANH,,
90,Aniak,Medium airport,Aniak,United States,ANI,PANI,ANI
91,Zanaga,Small airport,Zanaga,Congo (Brazzaville),ANJ,FCBZ,
92,Etimesgut Air Base,Medium airport,Ankara,Turkey,ANK,LTAD,
93,Andulo,Small airport,,Angola,ANL,,
94,Antsirabato,Medium airport,,Madagascar,ANM,FMNH,
95,Annette Island,Medium airport,Annette,United States,ANN,PANT,ANN
96,Angoche,Small airport,Angoche,Mozambique,ANO,FQAG,
97,Lee,Small airport,Annapolis,United States,ANP,KANP,ANP
98,Tri State Steuben County,Small airport,Angola,United States,ANQ,KANQ,ANQ
99,Antwerp International (Deurne),Medium airport,Antwerp,Belgium,ANR,EBAW,
0,Andahuaylas,Small airport,Andahuaylas,Perú,ANS,SPHY,
1,St AntonClosed,Closed,St Anton,Austria,ANT,,
2,V.C. Bird International,Medium airport,St. George,Antigua and Barbuda,ANU,TAPA,
3,Anvik,Medium airport,Anvik,United States,ANV,PANV,ANV
4,Ainsworth Municipal,Small airport,Ainsworth,United States,ANW,KANW,ANW
5,Andøya,Medium airport,Andenes,Norway,ANX,ENAN,
6,Anthony Municipal,Small airport,Anthony,United States,ANY,KANY,ANY
7,Angus DownsClosed,Closed,Angus Downs Station,Australia,ANZ,,
8,AroaClosed,Closed,Agevairu,Papua New Guinea,AOA,,
9,Annanberg,Small airport,,Papua New Guinea,AOB,,
10,Altenburg-Nobitz,Medium airport,Altenburg,Germany,AOC,EDAC,
11,Abou-Deïa,Small airport,Abou-Deïa,Chad,AOD,,
12,Anadolu,Medium airport,Eskişehir,Turkey,AOE,LTBY,
13,Anshan Air Base,Medium airport,Anshan,China,AOG,ZYAS,
14,Lima Allen County,Small airport,Lima,United States,AOH,KAOH,AOH
15,Ancona Falconara,Medium airport,Ancona,Italy,AOI,LIPY,
16,Aomori,Medium airport,Aomori,Japan,AOJ,RJSA,
17,Karpathos,Medium airport,Karpathos Island,Greece,AOK,LGKP,
18,Paso De Los Libres,Medium airport,Paso de los Libres,Argentina,AOL,SARL,
19,Adam,Small airport,Adam,Oman,AOM,,
20,AronaClosed,Closed,Arona,Papua New Guinea,AON,,
21,Altoona Blair County,Medium airport,Altoona,United States,AOO,KAOO,AOO
22,Alferez FAP Alfredo Vladimir Sara Bauer,Small airport,Andoas,Perú,AOP,SPAS,
23,Sultan Abdul Halim,Medium airport,Alor Satar,Malaysia,AOR,WMKA,
24,Amook Bay,Seaplane base,Amook Bay,United States,AOS,AK81,AK81
25,Aosta,Medium airport,Aosta,Italy,AOT,LIMW,
26,Attopeu,Small airport,Attopeu,Laos,AOU,VLAP,
27,Centennial,Medium airport,Denver,United States,APA,KAPA,APA
28,Apolo,Small airport,Apolo,Bolivia,APB,SLAP,
29,Napa County,Small airport,Napa,United States,APC,KAPC,APC
30,San Juan Aposento,Small airport,San Juan Aposento,Perú,APE,SPAO,
31,Naples Municipal,Medium airport,Naples,United States,APF,KAPF,APF
32,Phillips Army Air Field,Medium airport,Aberdeen Proving Grounds(Aberdeen),United States,APG,KAPG,APG
33,A P Hill AAF (Fort A P Hill),Small airport,Fort A. P. Hill,United States,APH,KAPH,APH
34,Gomez Nino Apiay Air Base,Medium airport,Apiay,Colombia,API,SKAP,
35,Apataki,Small airport,Apataki,French Polynesia,APK,NTGD,
36,Nampula,Medium airport,Nampula,Mozambique,APL,FQNP,
37,Alpena County Regional,Medium airport,Alpena,United States,APN,KAPN,APN
38,Antonio Roldan Betancourt,Medium airport,Carepa,Colombia,APO,SKLC,
39,ApartadóClosed,Closed,Apartadó,Colombia,APO,,
40,Asapa,Small airport,,Papua New Guinea,APP,,
41,Arapiraca,Small airport,Arapiraca,Brazil,APQ,SNAL,
42,April River,Small airport,April River,Papua New Guinea,APR,AYPE,
43,Anápolis,Small airport,Anápolis,Brazil,APS,SWNS,
44,Marion County Brown Field,Small airport,Jasper,United States,APT,KAPT,APT
45,Apucarana,Small airport,Apucarana,Brazil,APU,SSAP,
46,Apple Valley,Small airport,Apple Valley,United States,APV,KAPV,APV
47,Faleolo International,Medium airport,Apia,Samoa,APW,NSFA,
48,Arapongas,Small airport,Arapongas,Brazil,APX,SSOG,
49,Alto Parnaíba,Small airport,Alto Parnaíba,Brazil,APY,SNAI,
50,Zapala,Medium airport,Zapala,Argentina,APZ,SAHZ,
51,Araraquara,Medium airport,Araraquara,Brazil,AQA,SBAQ,
52,Santa Cruz del Quiche,Small airport,Santa Cruz del Quiche,Guatemala,AQB,MGQC,
53,Anqing Tianzhushan,Medium airport,Anqing,China,AQG,ZSAQ,
54,Al Qaisumah/Hafr Al Batin,Medium airport,Qaisumah,Saudi Arabia,AQI,OEPA,
55,Aqaba King Hussein International,Medium airport,Aqaba,Jordan,AQJ,OJAQ,
56,Nova Vida,Small airport,Ariquemes,Brazil,AQM,SWNI,
57,Rodríguez Ballón International,Medium airport,Arequipa,Perú,AQP,SPQU,
58,BiaugunuClosed,Closed,"Saqani, Cakaudrove",Fiji,AQS,NFBG,
59,Girdwood,Small airport,Girdwood,United States,AQY,,AQY
60,Acadiana Regional,Medium airport,New Iberia,United States,ARA,KARA,ARA
61,Ann Arbor Municipal,Small airport,Ann Arbor,United States,ARB,KARB,ARB
62,Arctic Village,Medium airport,Arctic Village,United States,ARC,PARC,ARC
63,Mali,Small airport,Alor Island,Indonesia,ARD,WATM,
64,Antonio Nery Juarbe Pol,Medium airport,Arecibo,Puerto Rico,ARE,TJAB,ABO
65,Acaricuara,Small airport,Acaricuara,Colombia,ARF,,
66,Walnut Ridge Regional,Small airport,Walnut Ridge,United States,ARG,KARG,ARG
67,Talagi,Medium airport,Archangelsk,Russia,ARH,ULAA,
68,Chacalluta,Medium airport,Arica,Chile,ARI,SCAR,
69,Arso,Small airport,Arso-Papua Island,Indonesia,ARJ,WAJA,
70,Arusha,Medium airport,Arusha,Tanzania,ARK,HTAR,
71,Arly,Small airport,Arly,Burkina Faso,ARL,DFER,
72,Armidale,Medium airport,Armidale,Australia,ARM,YARM,
73,Stockholm-Arlanda,Large airport,Stockholm,Sweden,ARN,ESSA,
74,Arboletes,Small airport,Arboletes,Colombia,ARO,,
75,Aragip,Small airport,,Papua New Guinea,ARP,,
76,El Troncal,Small airport,Arauquita,Colombia,ARQ,SKAT,
77,D. Casimiro Szlapelis,Small airport,Alto Rio Senguerr,Argentina,ARR,SAVR,
78,Watertown International,Medium airport,Watertown,United States,ART,KART,ART
79,Araçatuba,Medium airport,Araçatuba,Brazil,ARU,SBAU,
80,Lakeland-Noble F. Lee Memorial field,Small airport,Minocqua-Woodruff,United States,ARV,KARV,ARV
81,Arad International,Medium airport,Arad,Romania,ARW,LRAR,
82,Asbury Park Neptune Air TerminalClosed,Closed,Asbury Park,United States,ARX,,
83,Ararat,Medium airport,,Australia,ARY,YARA,
