,Airport,Type,City,Country,IATA,ICAO,FAA
34,Évreux-Fauville (BA 105) Air Base,Medium airport,Évreux/Fauville,France,EVX,LFOE,
35,New Bedford Regional,Medium airport,New Bedford,United States,EWB,KEWB,EWB
36,Ewer,Small airport,Asmat,Indonesia,EWE,,
37,Enarotali,Small airport,Enarotali-Papua Island,Indonesia,EWI,WABT,
38,Newton City-County,Small airport,Newton,United States,EWK,KEWK,EWK
39,Coastal Carolina Regional,Medium airport,New Bern,United States,EWN,KEWN,EWN
40,Ewo,Small airport,Ewo,Congo (Brazzaville),EWO,FCOE,
41,Newark Liberty International,Large airport,Newark,United States,EWR,KEWR,EWR
42,RAF Greenham CommonClosed,Closed,Berkshire,United Kingdom,EWY,EGVI,
43,Excursion Inlet,Seaplane base,Excursion Inlet,United States,EXI,,EXI
44,Exmouth,Small airport,,Australia,EXM,YEXM,
45,Exeter International,Large airport,Exeter,United Kingdom,EXT,EGTE,
46,Beloyarskiy,Medium airport,,Russia,EYK,,
47,Yélimané,Small airport,Yélimané,Mali,EYL,GAYE,
48,El Yopal,Medium airport,El Yopal,Colombia,EYP,SKYP,
49,Yerington Municipal,Small airport,Yerington,United States,EYR,O43,O43
50,Eliye Springs,Small airport,Eliye Springs,Kenya,EYS,HKES,
51,Key West International,Medium airport,Key West,United States,EYW,KEYW,EYW
52,Ministro Pistarini International,Large airport,Buenos Aires,Argentina,EZE,SAEZ,
53,Elazığ,Medium airport,Elazığ,Turkey,EZS,LTCA,
54,Berezovo,Medium airport,,Russia,EZV,USHB,
0,Faranah,Small airport,Faranah,Guinea,FAA,GUFH,
1,Farnborough,Medium airport,Farnborough,United Kingdom,FAB,EGLF,
2,Faaite,Small airport,,French Polynesia,FAC,NTKF,
3,Vagar,Medium airport,Vagar,Faroe Islands,FAE,EKVG,
4,Felker Army Air Field,Medium airport,Fort Eustis,United States,FAF,KFAF,FAF
5,Fagurhólsmýri,Small airport,Fagurhólsmýri,Iceland,FAG,BIFM,
6,Farah,Small airport,Farah,Afghanistan,FAH,OAFR,
7,Fairbanks International,Large airport,Fairbanks,United States,FAI,PAFA,FAI
8,Diego Jimenez Torres,Medium airport,Fajardo,Puerto Rico,FAJ,TJFA,
9,False Island,Seaplane base,False Island,United States,FAK,2Z6,2Z6
10,Falcon StateClosed,Closed,Roma,United States,FAL,,
11,Farmington Regional,Small airport,Farmington,United States,FAM,KFAM,FAM
12,Lista,Small airport,Farsund,Norway,FAN,ENLI,
13,Faro,Large airport,Faro,Portugal,FAO,LPFR,
14,Frieda River,Small airport,Frieda River,Papua New Guinea,FAQ,AYFR,
15,Hector International,Medium airport,Fargo,United States,FAR,KFAR,FAR
16,Fáskrúðsfjörður,Small airport,Fáskrúðsfjörður,Iceland,FAS,BIFF,
17,Fresno Yosemite International,Medium airport,Fresno,United States,FAT,KFAT,FAT
18,Fahud,Small airport,Fahud,Oman,FAU,OOFD,
19,Fakarava,Medium airport,,French Polynesia,FAV,NTGF,
20,Fayetteville Regional Grannis Field,Medium airport,Fayetteville,United States,FAY,KFAY,FAY
21,Fasa,Medium airport,Fasa,Iran,FAZ,OISF,
22,Fonte Boa,Small airport,Fonte Boa,Brazil,FBA,SWOB,
23,Fayzabad,Small airport,Fayzabad,Afghanistan,FBD,OAFZ,
24,Francisco Beltrão,Small airport,Francisco Beltrão,Brazil,FBE,SSFB,
25,Simmons Army Air Field,Medium airport,Fort Bragg,United States,FBG,KFBG,FBG
26,Ladd AAF Airfield,Medium airport,Fairbanks/Ft Wainwright,United States,FBK,PAFB,FBK
27,Lubumbashi International,Medium airport,Lubumbashi,Congo (Kinshasa),FBM,FZQA,
28,Fort Bridger,Small airport,Fort Bridger,United States,FBR,KFBR,FBR
29,Friday Harbor,Seaplane base,Friday Harbor,United States,FBS,W33,W33
30,Kilen,Seaplane base,,Norway,FBU,ENFB,
31,"Oslo, FornebuClosed",Closed,Oslo,Norway,FBU,ENFB,
32,Glacier Park International,Medium airport,Kalispell,United States,FCA,KGPI,GPI
33,Ficksburg Sentraoes,Medium airport,Ficksburg,South Africa,FCB,FAFB,
34,Fresno Chandler Executive,Small airport,Fresno,United States,FCH,KFCH,FCH
35,Flying Cloud,Small airport,Minneapolis,United States,FCM,KFCM,FCM
36,Nordholz Naval Airbase,Medium airport,Cuxhaven,Germany,FCN,ETMN,
37,Leonardo da Vinci–Fiumicino,Large airport,Rome,Italy,FCO,LIRF,
38,Butts AAF (Fort Carson) Air Field,Medium airport,Fort Carson,United States,FCS,KFCS,FCS
39,Vagabond Army,Heliport,Yakima,United States,FCT,KFCT,FCT
40,Fundación,Small airport,Fundación,Colombia,FDA,SKFU,
41,Førde,Small airport,Førde,Norway,FDE,ENBL,
42,Martinique Aimé Césaire International,Medium airport,Fort-de-France,Martinique,FDF,TFFF,
43,Friedrichshafen,Medium airport,Friedrichshafen,Germany,FDH,EDNY,
44,Frederick Municipal,Small airport,Frederick,United States,FDK,KFDK,FDK
45,San Fernando,Medium airport,San Fernando,Argentina,FDO,SADF,
46,Bandundu,Medium airport,,Congo (Kinshasa),FDU,FZBO,
47,Findlay,Medium airport,Findlay,United States,FDY,KFDY,FDY
48,Fetlar,Small airport,Fetlar Island,United Kingdom,FEA,,
49,Sanfebagar,Small airport,Sanfebagar,Nepal,FEB,VNSR,
50,João Durval Carneiro,Small airport,Feira De Santana,Brazil,FEC,SBFE,
51,Fergana International,Small airport,Fergana,Uzbekistan,FEG,UTFF,
52,Ferkessedougou,Small airport,Ferkessedougou,Côte d'Ivoire,FEK,DIFK,
53,Fürstenfeldbruck,Medium airport,Fürstenfeldbruck,Germany,FEL,ETSF,
54,Fernando de Noronha,Medium airport,Fernando De Noronha,Brazil,FEN,SBFN,
55,Albertus,Small airport,Freeport,United States,FEP,KFEP,FEP
56,Francis E Warren Air Force Base,Heliport,Cheyenne,United States,FEW,KFEW,FEW
57,Saïss,Medium airport,Fes,Morocco,FEZ,GMFF,
58,First Flight,Small airport,Kill Devil Hills,United States,FFA,KFFA,FFA
59,RAF Fairford,Large airport,Fairford,United Kingdom,FFD,EGVA,
60,Fergus Falls Municipal - Einar Mickelson Field,Small airport,Fergus Falls,United States,FFM,KFFM,FFM
61,Wright-Patterson Air Force Base,Large airport,Dayton,United States,FFO,KFFO,FFO
62,Futaleufú,Small airport,Futaleufu,Chile,FFU,SCFT,
63,Fderik,Small airport,Fderik,Mauritania,FGD,GQPF,
64,Fagali'i,Small airport,Apia,Samoa,FGI,NSFI,
65,Fox,Heliport,Fox,New Zealand,FGL,NZFH,
66,Fangatau,Medium airport,,French Polynesia,FGU,NTGB,
67,Fernandina Beach MunicipalClosed,Closed,Fernandina Beach,United States,FHB,KFHB,
68,Sierra Vista Municipal Libby Army Air Field,Medium airport,Fort Huachuca Sierra Vista,United States,FHU,KFHU,FHU
69,Fakahina,Small airport,Fakahina,French Polynesia,FHZ,NTKH,
70,Fire CoveClosed,Closed,Fire Cove,United States,FIC,,
71,Elizabeth Field,Small airport,Fishers Island,United States,FID,0B8,0B8
72,Fair Isle,Medium airport,Fair Isle,United Kingdom,FIE,EGEF,
73,Fria,Small airport,Fria,Guinea,FIG,GUFA,
74,Ndjili International,Medium airport,Kinshasa,Congo (Kinshasa),FIH,FZAA,
75,Finke,Small airport,Finke,Australia,FIK,YFNE,
76,Fillmore Municipal,Small airport,Fillmore,United States,FIL,KFOM,FOM
77,Finschhafen,Small airport,Buki,Papua New Guinea,FIN,AYFI,
